,count,unique,top,freq,mean,std,min,25%,50%,75%,max
patient_id,5000,5000,P00001,1,,,,,,,
age,5000.0,,,,64.6578,14.550444744008676,25.0,54.0,64.0,78.0,85.0
sex,5000,2,Female,2562,,,,,,,
ethnicity,5000,6,Caucasian,2166,,,,,,,
education_level,5000,5,Some College,1521,,,,,,,
annual_income_k,5000.0,,,,50.666959999999996,34.783684642398946,15.0,23.5,42.3,67.4,310.5
insurance_type,5000,5,Private,2242,,,,,,,
occupation_type,5000,4,Sedentary,2051,,,,,,,
residence_type,5000,3,Suburban,2282,,,,,,,
smoking_status,5000,3,Never,2742,,,,,,,
alcohol_drinks_per_week,5000.0,,,,2.109,1.9800765491839263,0.0,0.0,2.0,4.0,11.0
physical_activity_min_per_week,5000.0,,,,125.8976,89.47608120644094,0.0,63.0,106.0,170.0,553.0
diet_quality_score,4738.0,,,,5.477311101730688,1.951539285363502,1.0,4.2,5.4,6.8,10.0
avg_sleep_hours,5000.0,,,,7.0053,1.520375025460366,3.0,6.0,7.0,8.0,12.0
stress_level,4742.0,,,,5.039814424293547,1.9790967878011392,1.0,3.7,5.0,6.4,10.0
family_history_diabetes,5000.0,,,,0.359,0.4797551802811527,0.0,0.0,0.0,1.0,1.0
family_history_hypertension,5000.0,,,,0.4542,0.4979477386132786,0.0,0.0,0.0,1.0,1.0
gestational_diabetes_history,5000.0,,,,0.0398,0.19550857966069976,0.0,0.0,0.0,0.0,1.0
pcos_diagnosis,5000.0,,,,0.0428,0.202426172396393,0.0,0.0,0.0,0.0,1.0
metabolic_syndrome,5000.0,,,,0.5908,0.49173541741890914,0.0,0.0,1.0,1.0,1.0
bmi_current,5000.0,,,,26.665480000000006,3.5231711449464553,16.0,24.3,26.7,29.0,38.9
bmi_1yr_ago,5000.0,,,,26.68876,3.6446649199721746,16.0,24.2,26.7,29.1,39.2
bmi_2yr_ago,5000.0,,,,26.69892,3.7801143747957293,16.0,24.2,26.7,29.3,40.7
systolic_bp_current,5000.0,,,,144.869,11.694596688998885,99.0,137.0,145.0,153.0,190.0
systolic_bp_3mo_ago,5000.0,,,,144.849,12.638724083913448,101.0,136.0,145.0,153.0,196.0
systolic_bp_6mo_ago,5000.0,,,,144.8306,13.64524613880005,92.0,135.0,145.0,154.0,199.0
diastolic_bp_current,5000.0,,,,86.9762,8.645009010762177,60.0,81.0,87.0,93.0,116.0
diastolic_bp_3mo_ago,5000.0,,,,86.9272,8.988150951753443,60.0,81.0,87.0,93.0,124.0
diastolic_bp_6mo_ago,5000.0,,,,86.8088,9.574893120847623,60.0,80.0,87.0,93.0,121.0
hrv_rmssd,4710.0,,,,26.57227176220807,10.712669642385196,10.0,18.4,26.05,34.1,70.2
resting_heart_rate,5000.0,,,,70.036,8.540825085354912,45.0,64.0,70.0,76.0,99.0
hba1c_current,5000.0,,,,6.1078600000000005,0.7205081864971153,4.0,5.6,6.1,6.6,8.7
hba1c_3mo_ago,5000.0,,,,6.1067,0.7466783884130734,4.0,5.6,6.1,6.6,8.5
hba1c_6mo_ago,5000.0,,,,6.10818,0.7738597155634052,4.0,5.6,6.1,6.6,8.6
fasting_glucose_current,5000.0,,,,101.7076,14.595023301832589,60.0,92.0,102.0,111.0,151.0
fasting_glucose_3mo_ago,5000.0,,,,101.7734,14.81438306609917,60.0,92.0,102.0,112.0,162.0
ogtt_2hr_glucose,4750.0,,,,142.50442105263159,25.40220744365963,70.0,125.0,143.0,160.0,243.0
total_cholesterol,5000.0,,,,231.9894,31.66172737922123,120.0,211.0,233.0,253.0,341.0
ldl_cholesterol,5000.0,,,,139.1264,27.39612623321986,44.0,121.0,139.0,158.0,227.0
hdl_cholesterol,5000.0,,,,50.4432,10.627839100813983,20.0,43.0,50.0,58.0,92.0
triglycerides,5000.0,,,,200.4062,33.7081718538687,75.0,178.0,201.0,223.0,316.0
creatinine,5000.0,,,,0.817376,0.2097567977607433,0.4,0.67,0.81,0.96,1.79
egfr,5000.0,,,,60.12,15.762350406524645,15.0,49.0,60.0,71.0,117.0
microalbumin,4746.0,,,,23.096607669616517,10.936052608512833,0.0,15.5,23.2,30.4,64.9
on_metformin,5000.0,,,,0.1924,0.3942249645374236,0.0,0.0,0.0,0.0,1.0
on_statins,5000.0,,,,0.3746,0.48406787162635384,0.0,0.0,0.0,1.0,1.0
on_ace_inhibitors,5000.0,,,,0.3196,0.4663682449180836,0.0,0.0,0.0,1.0,1.0
on_beta_blockers,5000.0,,,,0.0958,0.29434620421807295,0.0,0.0,0.0,0.0,1.0
medication_adherence_pct,5000.0,,,,70.2678,14.082391341998058,14.0,61.0,72.0,81.0,99.0
doctor_visits_last_year,5000.0,,,,5.3234,2.398575217210109,0.0,4.0,5.0,7.0,15.0
er_visits_last_year,5000.0,,,,0.1244,0.3646247800767924,0.0,0.0,0.0,0.0,3.0
hospitalizations_last_year,5000.0,,,,0.0514,0.23144924659793162,0.0,0.0,0.0,0.0,3.0
preventive_care_compliance,4756.0,,,,60.350504625735915,14.812169299827437,11.0,50.0,61.0,71.0,96.0
has_diabetes,5000.0,,,,0.3192,0.4662132891351268,0.0,0.0,0.0,1.0,1.0
has_hypertension,5000.0,,,,0.694,0.46087577642599015,0.0,0.0,1.0,1.0,1.0
diabetes_risk_score,5000.0,,,,60.837,31.66014693555284,0.0,30.0,55.0,100.0,100.0
hypertension_risk_score,5000.0,,,,82.578,27.372865592665867,0.0,55.0,100.0,100.0,100.0
bmi_category,5000,4,Overweight,2601,,,,,,,
